"system_seq: Descending","process_seq: Ascending","table_name: Ascending",Count
801,"1,001","HM_FSNAMESYSTEM_PROGRESS",28
801,"1,001","HM_FSNAMESYSTEM_STATE",22
801,"1,001","HM_HEAPMEMORY_USAGE",8
801,"1,001","HM_JVM_METRICS",22
801,"1,001","HM_METRICSSYSTEM_STATS",9
801,"1,001","HM_NAMENODE_ACTIVITY",42
801,"1,001","HM_NAMENODE_INFO",13
801,"1,001","HM_NODE_USAGE",4
801,"1,001","SM_CLUSTER_STATUS",3
801,"1,004","HM_CLUSTER_METRICS",9
801,"1,004","HM_HEAPMEMORY_USAGE",8
801,"1,004","HM_JVM_METRICS",19
801,"1,004","HM_METRICSSYSTEM_STATS",9
801,"1,004","HM_QUEUE_METRICS",33
801,"1,004","SM_CLUSTER_STATUS",2
801,"1,007",RRD,160
802,"1,001","HM_FSNAMESYSTEM_PROGRESS",28
802,"1,001","HM_FSNAMESYSTEM_STATE",22
802,"1,001","HM_HEAPMEMORY_USAGE",8
802,"1,001","HM_JVM_METRICS",22
802,"1,001","HM_METRICSSYSTEM_STATS",9
802,"1,001","HM_NAMENODE_ACTIVITY",42
802,"1,001","HM_NAMENODE_INFO",13
802,"1,001","HM_NODE_USAGE",4
802,"1,001","SM_CLUSTER_STATUS",3
802,"1,004","SM_NODEMANAGER_LIVE",10
802,"1,007",RRD,160
803,"1,001","SM_NAMENODE_LIVENODE",15
803,"1,004","SM_NODEMANAGER_LIVE",10
803,"1,006","HM_HEAPMEMORY_USAGE",8
803,"1,006","HM_JVM_METRICS",19
803,"1,006","HM_METRICSSYSTEM_STATS",9
803,"1,006","HM_NODEMANAGER_METRICS",13
803,"1,006","HM_SHUFFLE_METRICS",4
803,"1,007",RRD,160
